Common Names,What is the most common name for males in 2022?,Liam,100
Common Names,What is the most common name for females in 2022?,Olivia,100
Common Names,What is the second most common name for males in 2021?,Noah,200
Common Names,What is the second most common name for females in 2021?,Emma,200
Common Names,What is the third most common name for males in 2020?,Oliver,300
Common Names,What is the third most common name for females in 2020?,Ava,300
Common Names,What is the fourth most common name for males in 2019?,William,400
Common Names,What is the fourth most common name for females in 2019?,Sophia,400
Common Names,What is the fifth most common name for males in 2018?,Oliver,500
Common Names,What is the fifth most common name for females in 2018?,Emma,500
Common Names,What is the most common name for males in 2017?,Liam,600
Common Names,What is the most common name for females in 2017?,Emma,600
Common Names,What is the second most common name for males in 2016?,Liam,700
Common Names,What is the second most common name for females in 2016?,Olivia,700
Common Names,What is the third most common name for males in 2015?,Mason,800
Common Names,What is the third most common name for females in 2015?,Sophia,800
