Music,Which astronomer is name dropped in Bohemian Rhapsody?,Galileo,200
Music,Eminem's 8 Mile is named after a road in which city?,Detroit,100
Music,Three of the top 15 best-selling albums of the 2000s belong to which 4-piece band?,Coldplay,800
Music,What year were the Eagles inducted into the Rock and Roll Hall of Fame?,1998,1000
Music,Michael Jackson's thriller features what creature?,Zombies,200
Music,The Rock and Roll Hall of Fame is situated in what US State?,Ohio,100
Music,What does the Italian musical term adagio mean?,Slow,1200
Music,How many keys are on the baby grand piano?,88,1300
Music,What was the name of Nirvana's debut album?,Bleach,500
Music,Which female artist performed the The Star-Spangled Banner at the 2018 Super Bowl?,Pink,600
