Space,What is the name of the planet that was reclassified as a dwarf planet in 2006?,Pluto,100
Space,_____ comet is arguably the most famous comet in history,Halleys,200
Space,What is the Largest planet in our solar system?,Jupiter,300
Space,Buzz _____ is a veteran astronaut who became the second person to ever set foot on the moon,Aldrin,400
Space,The galaxy that contains our solar system is called the _____ Way,Milky,500 
Space,Which planet is not named after a god?,Earth,600
Space,What is the name of the space shuttle involved in a fatal accident in 1986?,Challenger,700
Space,Russia launched this first satellite into space in 1957,Sputnik,800
Space,The _______ program was the third United States human spaceflight program carried out by NASA,Apollo,900
Space,Which planet has moons named Phobos and Deimos?,Mars,1000
